transaction_date,volume,,,
4/5/15,1330.61,,,
4/6/15,3164.43,,,
4/7/15,9600.23,,,
4/8/15,8849.23,,,
4/9/15,8401.97,,,
4/10/15,7825.52,,,
4/11/15,3138.03,,,
4/12/15,2090.37,,,
4/13/15,9239.45,,,
4/14/15,9523.73,,,
4/15/15,9124.92,,,
4/16/15,9315.3,,,
4/17/15,9525.9,,,
4/18/15,3042.41,,,
4/19/15,2380.84,,,
4/20/15,8516.38,,,
4/21/15,8733.23,,,
4/22/15,9911.58,,,
4/23/15,8332.01,,,
4/24/15,7828.18,,,
4/25/15,2546.12,,,
4/26/15,2246.59,,,
4/27/15,8773.47,,,
4/28/15,8974.72,,,
4/29/15,9158.12,,,
4/30/15,9252.15,,,
5/1/15,8797.47,,,
5/2/15,3005.52,,,
5/3/15,878.31,,,
5/4/15,3935.76,,,
5/5/15,9514.92,,,
5/6/15,9374,,,
5/7/15,9467.12,,,
5/8/15,8077.88,,,
5/9/15,3305.06,,,
5/10/15,2419,,,
5/11/15,9996.1,,,
5/12/15,9962.23,,,
5/13/15,9029.38,,,
5/14/15,9898.16,,,
5/15/15,7494.67,,,
5/16/15,2399.35,,,
5/17/15,1849.78,,,
5/18/15,8745.09,,,
5/19/15,9287.45,,,
5/20/15,10370.27,,,
5/21/15,9379.63,,,
5/22/15,8541.95,,,
5/23/15,3013.03,,,
5/24/15,1658.61,,,
5/25/15,3982.62,,,
5/26/15,9403.95,,,
5/27/15,8910.09,,,
5/28/15,8822.67,,,
5/29/15,8502.8,,,
5/30/15,3620.12,,,
5/31/15,2215.81,,,
6/1/15,10079.63,,,
6/2/15,8876.25,,,
6/3/15,10868.08,,,
6/4/15,9678.52,,,
6/5/15,7910.74,,,
6/6/15,3252.2,,,
6/7/15,1914.72,,,
6/8/15,10172.15,,,
6/9/15,9941.35,,,
6/10/15,10736.03,,,
6/11/15,9435.42,,,
6/12/15,8319.38,,,
6/13/15,2689,,,
6/14/15,2326.71,,,
6/15/15,9217.94,,,
6/16/15,8692.14,,,
6/17/15,9139.02,,,
6/18/15,8729.04,,,
6/19/15,8806.54,,,
6/20/15,2316.27,,,
6/21/15,2105.43,,,
6/22/15,9698.38,,,
6/23/15,9090.34,,,
6/24/15,9794.5,,,
6/25/15,9904.37,,,
6/26/15,7583.96,,,
6/27/15,2695.14,,,
6/28/15,2018.57,,,
6/29/15,8735.75,,,
6/30/15,8829.91,,,
7/1/15,9560.36,,,
7/2/15,9336.12,,,
7/3/15,8838.25,,,
7/4/15,2894.98,,,
7/5/15,2757.39,,,
7/6/15,9942.68,,,
7/7/15,9437.07,,,
7/8/15,10105.29,,,
7/9/15,10352.72,,,
7/10/15,8331.07,,,
7/11/15,3158.37,,,
7/12/15,1849.78,,,
7/13/15,9825.05,,,
7/14/15,8919.37,,,
7/15/15,9943.39,,,
7/16/15,8741.55,,,
7/17/15,8287.84,,,
7/18/15,2621.17,,,
7/19/15,2063.6,,,
7/20/15,10022.76,,,
7/21/15,9552.1,,,
7/22/15,10178.18,,,
7/23/15,8904.68,,,
7/24/15,7745.87,,,
7/25/15,3528.41,,,
7/26/15,2028.87,,,
7/27/15,10532.84,,,
7/28/15,9195.31,,,
7/29/15,9738.3,,,
7/30/15,9557.36,,,
7/31/15,8463.08,,,
8/1/15,2820.05,,,
8/2/15,1938.11,,,
8/3/15,8993.05,,,
8/4/15,9858.15,,,
8/5/15,10505.98,,,
8/6/15,8408.88,,,
8/7/15,8804.42,,,
8/8/15,3126.39,,,
8/9/15,2373.08,,,
8/10/15,8934.24,,,
8/11/15,9749.99,,,
8/12/15,10523.37,,,
8/13/15,9934.43,,,
8/14/15,7885.89,,,
8/15/15,2845.39,,,
8/16/15,1694.22,,,
8/17/15,9910.98,,,
8/18/15,8913.68,,,
